HAT-P-7 System,http://bit.ly/2Iz4jPB,HAT-P-7,3.1027152E30,1391400.0,6389.0,http://bit.ly/336nzNZ,HAT-P-7 b,107952.92,3.4923200000000003E27,0.0,0.0,2.20474,http://bit.ly/2Q2PngD
Kepler-1397 System,http://bit.ly/2Iz4jPB,Kepler-1397,2.1679228E30,779184.0000000001,6026.0,http://bit.ly/336nzNZ,Kepler-1397 b,10938.276,0.0,0.0,0.0,47.449955,http://bit.ly/2Q2PngD
OGLE2-TR-L9 System,http://bit.ly/2Iz4jPB,OGLE2-TR-L9,3.0231584E30,1064421.0,6933.0,http://bit.ly/336nzNZ,OGLE2-TR-L9 b,115102.12000000001,8.541E27,4607614.4268000005,0.0,2.4855335,http://bit.ly/2Q2PngD
K2-100 System,http://bit.ly/2Iz4jPB,K2-100,2.4463715999999998E30,848754.0,6168.0,http://bit.ly/336nzNZ,K2-100 b,22877.44,0.0,4428096.9816000005,0.0,1.673833,http://bit.ly/2Q2PngD
CoRoT-12 System,http://bit.ly/2Iz4jPB,CoRoT-12,2.1480336E30,779184.0000000001,5675.0,http://bit.ly/336nzNZ,CoRoT-12 b,102948.48,1.740466E27,6007850.49936,0.07,2.828042,http://bit.ly/2Q2PngD
Kepler-256 System,http://bit.ly/2Iz4jPB,Kepler-256,0.0,904410.0,5551.0,http://bit.ly/336nzNZ,Kepler-256 b,10151.864,0.0,4039142.517,0.0,1.620493,http://bit.ly/2Q2PngD
Kepler-256 System,http://bit.ly/2Iz4jPB,Kepler-256,0.0,904410.0,5551.0,http://bit.ly/336nzNZ,Kepler-256 c,13726.464,0.0,6731904.194999999,0.0,3.38802,http://bit.ly/2Q2PngD
Kepler-256 System,http://bit.ly/2Iz4jPB,Kepler-256,0.0,904410.0,5551.0,http://bit.ly/336nzNZ,Kepler-256 d,15799.732,0.0,9574263.744,0.0,5.839172,http://bit.ly/2Q2PngD
Kepler-256 System,http://bit.ly/2Iz4jPB,Kepler-256,0.0,904410.0,5551.0,http://bit.ly/336nzNZ,Kepler-256 e,15013.32,0.0,1.4361395616E7,0.0,10.681572,http://bit.ly/2Q2PngD
Kepler-424 System,http://bit.ly/2Iz4jPB,Kepler-424,2.0088092E30,653958.0,5460.0,http://bit.ly/336nzNZ,Kepler-424 b,63627.88,1.95494E27,6582306.324,0.0,3.3118644,http://bit.ly/2Q2PngD
Kepler-424 System,http://bit.ly/2Iz4jPB,Kepler-424,2.0088092E30,653958.0,5460.0,http://bit.ly/336nzNZ,Kepler-424 c,0.0,1.322906E28,1.0920644583E8,0.0,223.3,http://bit.ly/2Q2PngD
Kepler-100 System,http://bit.ly/2Iz4jPB,Kepler-100,2.1480336E30,1036593.0,5825.0,http://bit.ly/336nzNZ,Kepler-100 b,8436.055999999999,4.3654E25,0.0,0.0,6.88705,http://bit.ly/2Q2PngD
Kepler-100 System,http://bit.ly/2Iz4jPB,Kepler-100,2.1480336E30,1036593.0,5825.0,http://bit.ly/336nzNZ,Kepler-100 c,14012.432,4.209764E25,0.0,0.0,12.8159,http://bit.ly/2Q2PngD
Kepler-100 System,http://bit.ly/2Iz4jPB,Kepler-100,2.1480336E30,1036593.0,5825.0,http://bit.ly/336nzNZ,Kepler-100 d,10294.848,1.791712E25,0.0,0.0,35.3331,http://bit.ly/2Q2PngD
WASP-38 System,http://bit.ly/2Iz4jPB,WASP-38,3.5004992E30,1057464.0,6180.0,http://bit.ly/336nzNZ,WASP-38 b,87935.16,6.52912E27,0.0,0.03,6.87188,http://bit.ly/2Q2PngD
Kepler-278 System,http://bit.ly/2Iz4jPB,Kepler-278,0.0,2045358.0,4991.0,http://bit.ly/336nzNZ,Kepler-278 b,25951.595999999998,0.0,3.0966759297E7,0.0,30.160546,http://bit.ly/2Q2PngD
